neuron_id,in_degree,out_degree
10001,422,64
10091,711,249
10106,506,315
10117,256,211
10128,242,191
10143,268,55
10180,186,1152
10246,98,131
10277,252,11
10283,1066,338
10580,529,210
10584,692,318
10671,166,1240
10728,334,46
10923,384,114
10924,270,213
11133,557,201
11361,206,185
11391,63,66
11572,89,93
12041,413,123
12628,743,232
13317,86,89
13825,150,220
14863,323,272
14899,267,321
16445,183,76
16542,263,174
17144,172,50
24115,49,136
65465,80,100
76294,58,31
106355,62,104
523643,148,94
523921,376,95
539202,32,25
800145,380,237
800146,100,2
800178,392,229
800254,202,242
800595,212,223
801805,271,149
802471,90,146
802478,102,116
802681,213,242
802799,105,125
802938,68,49
803025,126,88
804856,70,70
805365,66,71
805525,67,62
806876,101,26
807157,69,50
808384,69,42
810966,25,20
811175,40,29
811742,15,25
811881,16,25
812297,15,21
812335,27,21
812963,14,16
813974,11,21
902784,14,29
907419,13,27
926518,127,195
10002,15,66
10026,263,268
10054,240,128
10059,75,8
10381,9,40
10554,201,5
10738,227,0
10863,169,2
10892,137,47
10920,220,115
10927,223,2
11314,276,128
11344,103,342
11663,120,161
11672,276,140
11872,97,106
12030,131,179
12127,8,33
12209,141,46
12235,58,322
13547,256,113
13717,94,75
14446,73,76
15132,143,64
15457,75,104
15886,52,9
17019,63,106
18072,81,70
18491,106,51
18787,127,50
20652,148,149
20890,52,39
20907,53,39
22277,107,50
24636,63,35
25775,69,26
26293,49,39
26597,67,33
27002,48,30
29202,62,27
31365,47,36
32166,38,46
32715,53,44
33234,74,32
36929,60,35
38914,79,38
44601,59,31
44923,12,19
45757,33,32
45815,15,23
47544,9,30
49597,17,16
50388,9,24
53676,8,15
56554,77,35
80120,39,43
82525,28,13
98227,38,24
197252,80,41
512037,63,34
514165,7,16
514545,36,37
516918,149,41
521262,343,176
521265,117,62
555871,294,219
564865,91,38
10003,1330,1143
10011,323,788
10085,2582,1977
10108,1390,1197
10452,2377,2349
10466,694,525
10796,284,275
10801,168,79
11041,2056,1261
11225,128,60
11709,1532,627
11793,135,72
11899,108,15
12277,138,83
12574,175,65
12694,129,93
13086,221,63
13310,1440,598
13718,102,17
13744,164,105
13909,142,63
14253,100,17
14689,266,58
14834,95,15
14835,87,23
15098,139,91
15102,95,39
15121,102,16
15157,52,25
15255,94,16
15359,93,24
15540,95,16
15558,100,16
15599,182,63
15664,160,64
15779,81,31
15882,54,31
16101,73,32
16217,86,53
16295,86,42
16594,160,136
16737,15,19
16776,100,18
16810,81,7
16839,84,8
16891,60,47
16988,99,15
17062,162,183
17166,110,15
17403,74,50
17409,90,13
17597,36,38
17601,93,17
17662,142,123
17762,89,19
17911,111,12
17970,102,15
17982,80,68
18008,84,10
18145,201,67
18155,180,82
18198,111,90
18240,122,91
18258,79,14
18353,70,13
18505,84,69
18519,105,19
18680,89,13
18692,132,112
18788,62,28
19132,117,24
19193,130,16
19329,66,22
19399,168,82
19456,115,15
19464,145,68
19530,135,23
19595,110,20
19719,26,24
19868,97,64
20034,106,16
20177,97,18
20192,90,21
20196,89,69
20274,94,18
20357,105,21
20368,87,23
20417,109,16
20420,75,12
20431,86,23
20577,143,124
20872,141,65
21024,78,34
21037,109,90
21113,78,18
21171,79,30
21292,96,67
21373,112,15
21379,68,41
21432,101,19
21517,36,29
21518,109,18
21633,93,18
21864,105,18
21896,102,106
21906,100,17
21954,119,27
22009,91,12
22082,91,13
22174,149,123
22193,76,33
22258,96,20
22322,123,22
22382,102,21
22453,48,42
22586,53,34
22615,58,40
22640,123,137
22718,142,171
22729,70,8
22732,80,11
22745,141,73
22906,103,22
22907,77,50
22918,171,68
22954,115,20
22984,23,31
23015,86,13
23105,74,60
23108,92,23
23164,66,30
23264,99,13
23345,91,15
23366,96,23
23530,79,16
23564,98,17
23583,83,45
23655,98,14
23672,74,53
23773,71,57
23843,89,15
23844,93,11
23884,87,16
23957,118,107
23977,104,16
24077,86,13
24103,103,19
24130,91,13
24176,93,13
24244,110,74
24248,93,11
24279,125,62
24371,105,38
24384,79,15
24415,92,13
24685,82,12
24715,89,16
24899,72,27
24907,164,123
25064,35,32
25094,88,16
25105,87,15
25120,137,125
25159,105,24
25171,160,119
25393,98,22
25583,71,36
25625,82,35
25679,139,40
25680,104,48
25766,99,13
25814,84,67
25850,92,13
25915,86,15
26171,80,10
26261,96,16
26266,118,12
26281,86,13
26345,110,16
26400,108,62
26427,51,11
26513,16,25
26679,90,15
26682,109,23
26855,101,80
26858,78,15
26910,95,16
26931,138,112
26998,94,11
27039,84,16
27061,91,60
27129,90,16
27236,94,17
27358,29,24
27400,111,113
27537,88,73
27540,12,17
27546,40,16
27567,140,66
27640,99,14
27749,87,13
27811,96,21
27922,86,61
28071,70,30
28080,161,45
28098,88,29
28120,124,72
28205,97,14
28245,97,8
28283,85,66
28431,79,12
28556,105,19
28658,61,39
28749,125,77
28777,75,10
28815,99,16
28821,97,10
28824,88,13
28981,123,94
29015,78,54
29060,85,66
29096,87,66
29175,108,58
29228,108,73
29383,192,50
29580,100,85
29915,80,12
30101,81,14
30133,120,85
30217,83,45
30221,113,79
30308,76,67
30325,93,79
30372,89,13
30423,87,73
30748,91,71
31056,74,42
31223,89,14
31314,82,61
31347,50,31
31470,82,71
31543,81,39
31661,166,49
31686,78,12
31695,90,74
31888,72,31
32141,83,69
32214,90,15
32239,90,61
32351,82,34
32596,110,75
32636,116,86
32658,68,36
32672,79,67
32891,96,10
32960,83,61
33136,71,63
33260,326,170
33357,22,19
33544,33,23
33642,81,55
33811,71,3
33888,76,69
33932,82,68
34014,78,58
34020,41,34
34132,66,65
34229,90,14
34418,69,52
34436,15,18
34787,48,30
34905,82,61
34998,78,50
35084,74,61
35145,62,30
35448,67,25
35765,88,53
35932,90,13
36153,76,73
36292,75,51
36680,95,82
36816,49,41
36901,113,80
37005,127,62
37223,74,44
37254,49,24
37402,46,30
37795,13,14
38281,76,48
38521,62,57
38855,66,32
39086,80,46
39258,64,54
39311,70,56
39435,100,70
39634,119,85
39859,13,20
39903,50,29
40013,128,69
40090,60,36
40524,102,66
40601,97,55
40723,29,33
41026,124,69
41133,71,51
41252,157,57
41503,107,52
41702,94,56
41827,100,73
41901,83,48
42136,13,26
42653,35,41
42712,48,30
43084,137,48
43162,25,15
43236,16,23
43572,132,67
43678,83,46
43987,120,62
44052,18,23
44102,31,19
44208,108,77
44258,72,48
44482,44,20
44683,119,52
44755,57,29
44778,97,54
44889,11,18
44943,76,53
45365,110,44
45509,20,15
45864,115,69
45961,58,38
46038,60,25
46282,47,23
46342,13,20
46536,79,49
46863,14,22
46868,73,46
46989,42,24
47062,45,34
47645,15,32
47805,100,59
48278,103,54
48623,54,30
48728,17,21
49810,50,42
50060,52,29
50115,125,65
50351,75,48
50540,31,43
50642,43,31
50720,53,23
51420,29,35
51441,56,36
51625,55,48
51651,72,32
52234,48,30
52447,25,27
52501,16,21
52698,86,43
52714,55,33
52840,18,21
53008,39,36
53717,15,18
54043,19,17
54304,61,37
54342,34,34
54576,43,46
54635,52,33
54753,15,15
55274,42,31
55416,51,30
55419,19,18
56569,19,26
56665,55,43
56744,49,27
56891,46,20
56933,36,33
56934,6,13
57039,61,45
57045,18,24
57198,18,24
57494,34,27
58007,16,21
58569,21,24
58611,46,37
58658,41,19
58755,17,30
58949,42,26
59066,15,26
59354,16,18
59627,16,16
59736,45,25
60250,17,27
60460,17,19
60580,100,71
60880,19,20
60947,16,13
61200,47,8
61267,18,23
61342,14,24
61597,21,14
61644,17,20
61676,56,26
61726,16,18
61925,16,25
62206,43,28
62640,24,28
62747,14,16
62816,29,15
63428,43,33
63474,56,27
63532,15,22
63644,12,15
63855,38,19
64072,28,21
64516,18,22
65135,13,19
65647,16,15
65652,14,29
65987,94,76
67328,36,29
68059,12,23
68314,18,21
68426,12,18
68527,40,31
68970,18,24
69277,52,37
69317,63,32
69592,39,23
69701,49,23
69899,26,12
70183,34,20
70349,15,27
70633,14,17
70955,42,25
71093,16,21
72328,17,26
73359,18,28
73631,15,26
73636,49,41
73851,25,19
74011,44,24
74315,13,17
74469,12,21
74705,17,24
74875,15,28
75607,51,43
76618,18,27
76639,13,19
77532,12,20
78071,17,22
78511,10,14
78610,18,25
78896,18,26
79143,62,29
79188,11,17
79338,21,26
79491,13,24
79708,19,18
79995,12,23
80362,12,21
80829,23,31
80850,14,21
81412,22,26
81457,13,14
81726,19,28
81830,16,27
82903,14,20
83039,20,25
83382,13,23
83550,11,26
83596,18,25
84467,19,27
84497,16,24
85021,19,25
85037,44,34
85122,13,18
85364,21,22
85579,24,24
85599,18,28
85724,18,21
86055,12,23
86131,17,25
86462,17,23
86465,20,23
86709,17,26
86926,22,25
86927,22,21
87018,20,19
87079,14,21
87135,16,24
87244,19,25
87340,20,28
87529,15,24
87602,10,21
87695,19,30
87809,18,20
88172,15,27
88362,18,22
88364,19,29
88489,22,22
88714,12,24
88857,16,27
88875,27,20
88886,15,27
88981,117,19
89390,15,29
89593,18,18
89681,17,27
89847,16,19
89967,18,23
90415,18,17
90451,14,26
90469,14,21
90547,15,21
90610,16,25
90615,15,24
90780,16,23
90845,19,23
90993,17,22
90999,13,22
91206,18,21
91215,13,21
91228,15,17
91294,16,21
91404,14,20
91405,14,24
91511,16,24
91616,175,58
91801,115,19
91818,22,25
91924,16,28
92005,19,26
92092,19,25
92196,16,29
92317,16,25
92367,24,22
92447,18,12
92649,17,31
92882,57,22
92968,17,26
93005,14,21
93133,17,30
93324,13,29
93438,12,22
93578,19,25
93664,21,22
93695,17,29
93819,14,21
93932,19,21
93934,13,25
94057,18,25
94168,20,20
94214,16,27
94271,18,20
94299,13,21
94342,17,23
94512,22,21
94680,16,25
94751,16,25
95018,15,17
95064,14,14
95067,16,27
95231,19,32
95304,16,17
95445,16,8
95451,15,26
95600,14,25
95616,20,24
95630,14,16
95797,16,17
95805,16,22
95854,16,23
95872,19,24
95892,12,20
95901,37,22
95915,16,16
95930,29,15
96172,18,30
96276,11,32
96323,13,12
96575,17,32
96651,16,25
96803,19,22
96954,16,24
97060,15,27
97128,15,26
97140,15,33
97158,17,26
97272,18,23
97292,18,24
97371,13,24
97383,17,18
97434,15,34
97444,16,17
97498,17,21
97600,19,18
97643,14,27
97845,15,26
97850,17,29
97937,15,19
97978,13,22
98413,18,30
98440,12,27
98515,11,27
98618,19,20
98670,23,24
98828,14,12
98867,17,18
98981,20,20
98984,14,29
99128,13,18
99167,16,20
99187,15,20
99209,17,25
99241,13,20
99288,13,24
99347,17,25
99439,18,24
99486,101,15
99490,18,29
99515,23,19
99564,17,25
99575,16,25
99705,14,20
99714,17,23
99826,15,21
99876,10,27
99907,23,25
100142,11,19
100270,16,34
100365,13,19
100536,18,25
100597,16,19
100790,12,14
100907,15,16
101086,14,14
101097,16,23
101269,15,19
101284,18,26
101370,11,28
101415,13,18
101703,13,20
101784,16,28
102149,15,24
102152,12,25
102190,21,25
102260,21,17
102360,14,27
102491,18,26
102562,15,17
102766,15,18
102778,14,27
102827,15,20
102993,12,24
103090,17,21
103345,14,17
103450,15,28
103489,19,33
103685,12,26
103819,13,19
103862,18,19
103912,13,19
104382,17,27
104981,19,27
105079,20,25
105152,15,21
105196,12,25
105248,12,22
105331,12,24
105523,14,26
105856,12,19
105866,16,17
105920,15,27
105963,15,26
105999,19,20
106158,17,21
106323,13,19
106423,10,16
106579,20,26
106595,19,26
106725,15,14
106737,18,26
106897,17,23
106940,17,25
107178,14,29
107188,12,22
107198,12,21
107218,17,18
107373,16,26
107401,17,24
107548,12,28
107577,13,20
107608,22,24
107870,14,18
107942,13,18
108131,13,12
108445,84,35
108466,20,29
108641,12,25
108695,15,21
108730,16,22
