neuron_id,in_degree,out_degree
10009,11496,9619
10015,1119,59
10029,1221,6941
10046,952,10883
10053,1276,7023
10072,4322,10421
10093,5515,11215
10102,2363,5029
10143,267,494
10222,152,4150
10269,1797,4955
10312,2126,1109
10322,1827,4860
10358,1237,566
10428,157,4241
10481,2135,184
10583,197,656
10630,306,878
10675,10,99
10677,751,2749
10687,1322,3724
10705,216,751
10729,1185,32
10730,358,1069
10771,3233,134
10787,648,945
10807,3438,3799
10836,258,883
10915,826,30
11124,1300,33
11369,203,842
11485,222,415
11684,1345,466
12112,132,913
12416,491,124
12973,1221,312
13797,3032,1992
14581,1279,2027
15194,1227,1597
15514,42,157
16007,1134,1536
16435,1228,1681
17091,790,805
17151,705,767
17239,565,1119
17280,777,570
17424,1335,928
17871,84,152
18077,923,1136
18330,778,724
18523,587,689
18672,642,102
18676,518,659
18700,319,519
18735,335,129
18883,834,22
18944,341,109
19003,847,557
19070,796,783
19294,706,866
19403,573,118
19482,304,103
19549,573,109
19714,308,121
19731,176,38
19852,325,102
19860,546,1120
19884,312,106
20005,273,93
20135,45,103
20161,335,114
20310,627,708
20370,321,99
20632,280,96
20639,272,500
20829,295,94
20831,40,159
20920,302,111
20932,279,88
20982,456,85
21159,780,149
21336,398,41
21348,74,137
21385,621,684
21405,291,105
21483,571,69
21626,272,102
21788,298,96
21804,454,31
21807,285,106
21890,291,100
22054,289,95
22250,390,523
22279,496,5
22305,994,526
22324,648,111
22625,288,104
22734,264,93
22748,269,95
22771,281,106
22809,490,897
22871,278,109
22878,293,99
23023,225,397
23042,292,81
23086,399,11
23304,457,503
23429,532,622
23543,673,787
23573,322,150
23591,276,105
23649,275,83
23853,534,657
23935,262,534
23955,530,658
23965,544,689
24267,295,85
24292,391,791
24303,271,74
24328,553,626
24345,242,92
24474,442,577
24490,500,635
24510,452,565
24577,286,87
24579,90,141
24807,284,89
24826,355,103
24914,426,580
24967,366,427
25311,282,94
25398,495,503
25654,233,83
25964,372,700
26010,651,537
26046,463,534
26104,353,729
26151,456,536
26372,456,572
26399,327,328
26458,491,931
26486,412,520
26787,302,116
26965,174,271
27080,500,595
27130,493,513
27777,475,601
27783,482,557
27788,79,170
27908,37,327
28502,402,543
28555,440,521
28566,495,556
28638,475,505
28768,225,68
28982,368,412
29048,235,457
29337,689,676
29349,506,571
29385,361,409
29554,423,515
29599,474,498
29965,313,281
30034,484,559
30145,80,140
30323,415,489
30348,423,486
30724,571,1032
30814,674,137
30896,443,507
31087,338,338
31527,434,474
31798,431,444
31848,83,168
31977,501,877
32287,289,278
32345,84,170
32445,249,441
32488,197,282
32551,402,495
32725,96,173
32893,75,167
33013,79,161
33080,45,57
33110,84,160
33183,365,670
33216,87,159
33326,80,168
33446,96,174
33462,94,174
33483,90,173
33715,470,504
33918,91,174
34057,87,171
34079,84,167
34171,75,177
34201,352,347
34234,92,170
34297,470,530
34329,93,171
34419,81,164
34447,84,172
34515,76,164
34626,83,177
34658,101,180
34663,476,535
34739,87,163
34862,90,166
34867,84,165
34898,71,141
34926,88,166
34957,81,154
34965,83,142
35113,87,181
35152,87,149
35173,86,164
35235,91,176
35260,81,166
35290,89,171
35301,105,158
35390,407,402
35405,86,163
35428,80,150
35498,80,165
35569,52,65
35572,89,164
35602,85,165
35628,391,740
35665,89,171
35678,89,168
35708,75,155
35734,83,159
35774,81,170
35840,91,166
35882,80,158
35928,82,154
35957,92,179
35990,73,176
36145,228,293
36208,90,156
36275,85,166
36346,93,165
36398,83,140
36446,86,149
36452,90,179
36474,83,158
36484,87,150
36682,85,176
36684,86,156
36858,76,158
36911,78,160
36954,84,159
36974,85,170
36990,88,174
37012,92,173
37036,248,220
37037,85,159
37063,76,165
37084,82,160
37095,78,159
37294,84,154
37390,82,176
37438,86,172
37470,89,159
37507,83,162
37509,80,164
37529,74,172
37541,81,156
37568,79,178
37599,86,172
37610,85,153
37680,74,149
37687,83,164
37730,82,187
37756,81,155
37853,81,163
37948,92,173
38018,413,692
38147,88,160
38150,528,906
38153,91,162
38177,83,149
38198,68,154
38220,69,92
38227,79,175
38241,81,159
38252,85,150
38303,78,153
38421,90,164
38455,86,154
38477,86,162
38482,89,164
38485,402,407
38529,79,172
38561,85,153
38620,79,161
38632,79,153
38648,91,165
38682,75,154
38687,74,142
38708,82,159
38710,83,164
38711,85,177
38718,401,428
38752,76,148
38768,79,156
38769,87,156
38782,72,129
38791,93,160
38851,95,174
38893,80,163
38993,83,171
39067,79,165
39126,100,175
39158,88,177
39212,78,154
39312,90,141
39332,89,169
39405,82,153
39438,86,171
39505,68,151
39525,76,160
39561,317,387
39585,27,45
39595,72,139
39651,87,180
39662,94,150
39697,32,40
39718,97,178
39727,76,161
39810,90,153
39838,81,147
39858,82,151
39870,84,145
39894,79,76
39964,88,143
40054,75,149
40057,83,154
40109,74,148
40171,74,156
40219,79,170
40235,84,175
40351,94,139
40357,376,470
40441,89,154
40474,82,140
40505,75,136
40577,82,169
40596,79,170
40611,85,138
40627,78,141
40635,72,142
40646,94,143
40654,88,160
40719,82,134
40724,262,294
40832,71,147
40858,94,164
40867,87,163
40890,215,328
40908,82,147
40922,91,152
40944,82,152
40998,73,124
41037,88,174
41059,79,136
41069,87,164
41075,77,146
41188,89,138
41286,82,135
41322,78,144
41387,230,233
41398,90,169
41412,75,144
41435,80,132
41479,80,159
41508,84,169
41531,78,132
41545,87,168
41566,94,160
41568,71,149
41613,77,152
41626,73,160
41654,76,151
41816,65,131
41948,85,148
41973,81,137
42015,87,159
42035,89,141
42052,79,158
42064,81,130
42070,93,169
42109,80,143
42119,93,156
42186,75,146
42219,86,170
42245,75,137
42297,85,142
42323,78,144
42340,81,143
42380,84,150
42435,328,341
42492,84,155
42501,77,147
42533,207,145
42585,78,136
42594,88,154
42605,72,133
42628,82,157
42644,80,141
42657,71,133
42676,80,142
42691,90,161
42693,79,154
42707,86,138
42758,79,167
42769,65,155
42827,86,150
42859,82,130
42867,79,134
42872,89,178
42882,71,144
42909,81,165
42931,81,133
42933,76,141
42942,78,172
42983,103,143
43045,92,158
43057,70,127
43071,85,144
43073,91,162
43090,88,147
43099,83,140
43142,84,155
43221,83,169
43252,81,137
43256,82,174
43275,74,136
43292,380,366
43335,73,123
43371,75,134
43414,77,150
43446,86,171
43482,296,259
43485,81,162
43522,79,142
43530,74,134
43551,85,141
43601,82,135
43636,78,136
43660,76,128
43693,70,151
43694,82,140
43705,84,169
43709,76,147
43727,93,155
43738,84,153
43831,78,137
43860,77,145
43872,95,182
43883,215,184
43884,83,141
43902,78,138
43905,84,143
43960,75,131
43962,74,136
43968,79,135
43972,71,149
44012,78,135
44022,84,150
44028,82,148
44042,87,134
44048,75,127
44150,83,161
44183,85,128
44264,78,134
44276,74,130
44279,78,143
44310,73,153
44375,78,128
44376,84,148
44412,191,201
44437,77,129
44471,77,142
44516,80,149
44552,76,179
44578,73,145
44622,73,132
44674,79,154
44700,84,175
44729,84,152
44738,75,146
44773,78,144
44795,89,143
44810,201,280
44873,73,167
44876,85,151
44883,89,152
44898,76,141
44900,44,72
44929,83,159
44937,75,141
44965,71,124
45111,89,170
45184,75,131
45233,89,148
45238,76,162
45322,89,167
45349,76,158
45353,97,173
45369,80,145
45381,80,142
45406,68,139
45410,82,184
45423,85,168
45450,80,165
45456,84,129
45463,78,130
45474,78,132
45486,73,142
45496,75,132
45502,87,174
45526,339,293
45535,75,142
45546,78,143
45549,74,149
45589,88,136
45651,77,132
45654,82,140
45664,82,170
45704,39,75
45724,426,429
45751,51,67
45783,80,133
45801,76,158
45819,72,143
45859,79,129
45874,75,149
45887,78,150
45900,247,223
45933,81,136
45964,85,156
45987,82,151
45996,83,142
46001,87,135
46027,65,126
46036,83,144
46067,75,174
46108,78,135
46123,81,161
46156,86,145
46168,86,150
46191,82,159
46227,46,62
46236,75,145
46238,74,130
46248,89,159
46251,83,151
46272,78,158
46274,82,153
46275,68,129
46333,78,157
46456,83,149
46481,86,153
46483,81,134
46487,84,144
46501,76,137
46550,87,158
46556,84,154
46564,94,174
46588,91,165
46598,72,140
46667,78,142
46694,86,149
46695,78,140
46713,70,141
46722,71,129
46784,75,148
46831,72,139
46860,75,137
46885,75,138
46891,85,128
46928,78,139
46957,67,127
47065,79,126
47131,80,151
47135,89,171
47138,79,140
47158,79,133
47159,80,120
47169,73,124
47207,86,154
47211,83,165
47221,169,224
47242,78,135
47252,47,61
47322,88,163
47398,73,142
47404,79,151
47493,90,135
47518,85,127
47522,77,135
47538,69,123
47584,73,138
47588,43,58
47591,70,129
47604,81,133
47649,86,170
47678,83,135
47742,69,134
47795,72,134
47804,65,128
47828,78,135
47936,79,134
47967,72,155
47993,80,151
48012,79,152
48028,81,152
48087,44,71
48097,69,148
48130,87,155
48192,90,164
48193,80,146
48204,72,156
48247,76,124
48253,72,137
48259,79,151
48302,73,130
48306,85,164
48349,87,147
48350,80,147
48366,69,124
48372,77,133
48462,79,157
48484,77,128
48557,71,136
48588,86,169
48603,89,155
48613,89,159
48627,84,135
48630,74,135
48631,70,133
48707,75,151
48748,72,139
48758,77,132
48772,44,62
48785,84,159
48798,83,154
48827,432,604
48847,83,158
48848,76,135
48852,83,126
48860,78,142
48865,224,267
48906,79,147
48954,72,120
48957,52,67
49024,81,147
49046,73,141
49063,77,122
49111,45,56
49150,93,163
49218,79,141
49223,42,65
49242,69,124
49259,94,172
49260,77,131
49320,81,145
49331,37,68
49351,89,160
49400,81,133
49458,44,50
49462,48,68
49469,89,137
49508,85,166
49521,89,155
49541,78,148
49564,79,139
49571,35,62
49634,80,150
49667,59,120
49691,46,69
49816,78,140
49817,68,129
49831,254,243
49853,75,146
49871,80,145
49885,73,130
49907,77,149
49935,79,152
49966,88,161
49996,80,137
50024,73,138
50034,48,68
50053,86,144
50089,43,72
50097,79,138
50100,85,163
50137,48,71
50173,85,139
50203,61,106
50205,51,73
50223,53,66
50242,84,150
50245,72,137
50282,51,63
50293,72,138
50298,79,136
50321,75,132
50329,53,54
50332,81,130
50376,75,137
50438,43,72
50443,69,137
50488,79,141
50510,74,142
50512,49,67
50516,77,149
50552,80,154
50603,71,128
50637,71,143
50665,82,146
50670,76,135
50681,67,135
50684,54,67
50742,42,65
50763,79,163
50801,82,140
50813,80,158
50842,85,134
50847,81,149
50879,83,151
50886,77,151
50887,87,156
50977,72,137
50978,84,132
50979,65,134
51039,81,144
51049,80,160
51071,74,144
51077,42,59
51082,68,118
51117,45,53
51122,83,162
51125,83,134
51142,64,147
51156,96,253
51161,36,56
51172,207,148
51217,81,148
51262,93,148
51279,82,164
51298,42,65
51333,72,144
51348,77,135
51355,74,133
51370,67,129
51402,77,134
51415,81,139
51445,76,133
51466,76,144
51471,91,135
51497,74,165
51546,85,140
51557,86,152
51572,63,137
51614,71,138
51627,70,140
51662,73,144
51664,43,60
51676,67,128
51707,48,69
51765,54,60
51775,86,166
51861,87,134
51886,69,114
51919,78,157
51956,74,134
51971,71,126
52123,101,168
52130,44,67
52134,54,61
52178,74,146
52198,65,118
52199,71,140
52229,76,128
52239,80,160
52260,84,144
52296,79,135
52333,78,157
52335,45,58
52350,85,157
52358,76,119
52362,77,150
52369,85,159
52384,88,150
52389,55,114
52462,72,113
52491,85,130
52506,38,68
52508,72,107
52598,38,69
52605,67,120
52612,70,135
52625,44,52
52651,76,134
52709,66,126
52711,86,142
52743,73,129
52761,77,139
52813,80,133
52873,78,134
52915,66,132
52917,68,126
52919,244,298
52998,63,127
53010,66,143
53012,75,127
53100,91,152
53111,66,122
53172,84,135
53192,75,114
53194,40,58
53202,66,136
53238,47,50
53239,39,50
53293,85,142
53301,46,78
53332,41,65
53337,78,133
53348,76,135
53386,45,70
53412,87,135
53436,46,60
53462,74,144
53480,42,64
53495,77,154
53510,66,133
53517,73,140
53551,75,149
53567,74,123
53578,69,135
53596,83,163
53617,77,130
53646,69,127
53658,296,577
53811,44,57
53832,45,55
53840,71,134
53842,85,148
53876,81,144
53888,39,63
53900,77,139
53912,69,120
53930,75,135
53990,240,418
54027,74,139
54119,62,135
54121,82,139
54125,66,139
54131,43,60
54135,45,64
54140,64,111
54156,81,142
54190,73,124
54200,38,62
54262,69,121
54271,43,69
54272,49,71
54316,77,141
54325,64,123
54432,76,136
54437,45,67
54480,51,71
54491,76,140
54501,67,124
54520,75,138
54582,79,155
54592,68,126
54643,49,59
54670,161,136
54770,73,143
